model,window,day_type,season,forecast_hour,mae,rmse,mase
Prophet,19,weekday,summer,0,1935.4930038461737,2333.7534933724683,0.43886112374717406
Prophet,20,weekday,summer,0,1122.6506991418644,1280.8472042537787,0.2545541350043063
Prophet,21,weekend,summer,0,2017.7273265152087,2455.9627598507795,0.4575072501787365
Prophet,22,weekend,summer,0,1130.5972166086106,1373.2383004295318,0.2563559589212115
Prophet,23,weekday,summer,0,1845.9081810511705,1973.4955310486366,0.41854831666165115
Prophet,24,weekday,summer,0,1490.7388628155115,1704.3512109942535,0.33801586017037105
Prophet,25,weekday,summer,0,989.4840359641452,1298.1323304951238,0.2243594139013619
Prophet,26,weekday,summer,0,1376.9681039826346,1580.9558685086797,0.3122190409766328
Prophet,27,weekday,summer,0,1030.2077396605162,1268.1696341026316,0.2335932630198146
Prophet,28,weekend,summer,0,982.256312714591,1235.3834151716053,0.22272057214831517
Prophet,29,weekend,summer,0,3299.035073418614,3627.887861461534,0.7480358940718245
